A1;A2;A3;court branch;ECLI
0;0;0;CHAMBER;ECLI:CE:ECHR:2005:0517JUD003681897
1;0;0;CHAMBER;ECLI:CE:ECHR:2005:0519JUD004104098
0;0;0;CHAMBER;ECLI:CE:ECHR:2005:0609JUD004290898
0;0;0;CHAMBER;ECLI:CE:ECHR:2005:0609JUD006844301
0;0;0;CHAMBER;ECLI:CE:ECHR:2005:0630JUD001193103
2;2;2;GRANDCHAMBER;ECLI:CE:ECHR:2005:0630JUD004672099
0;0;0;CHAMBER;ECLI:CE:ECHR:2005:0707JUD004130202
0;0;0;CHAMBER;ECLI:CE:ECHR:2005:0715JUD006324000
0;0;0;CHAMBER;ECLI:CE:ECHR:2005:0715JUD006324200
0;0;0;CHAMBER;ECLI:CE:ECHR:2005:0715JUD006328500
0;0;1;CHAMBER;ECLI:CE:ECHR:2005:0721JUD005700100
1;2;2;GRANDCHAMBER;ECLI:CE:ECHR:2005:0928JUD003144396
0;0;1;CHAMBER;ECLI:CE:ECHR:2005:1206JUD001996004
0;0;2;GRANDCHAMBER;ECLI:CE:ECHR:2005:1006JUD000151303
0;0;2;GRANDCHAMBER;ECLI:CE:ECHR:2005:1006JUD001181003
0;0;0;CHAMBER;ECLI:CE:ECHR:2005:1006JUD006397300
0;2;0;GRANDCHAMBER;ECLI:CE:ECHR:2005:1006JUD007402501
0;0;0;CHAMBER;ECLI:CE:ECHR:2005:1006JUD007713201
0;0;0;CHAMBER;ECLI:CE:ECHR:2005:1011JUD005811900
0;0;0;CHAMBER;ECLI:CE:ECHR:2005:1013JUD006323800
0;0;0;CHAMBER;ECLI:CE:ECHR:2005:1013JUD006719801
2;2;0;CHAMBER;ECLI:CE:ECHR:2007:1127JUD002186103
0;1;0;CHAMBER;ECLI:CE:ECHR:2005:1108JUD000425102
1;0;0;CHAMBER;ECLI:CE:ECHR:2005:1115JUD005838600
1;0;0;CHAMBER;ECLI:CE:ECHR:2005:1117JUD006324100
0;0;0;CHAMBER;ECLI:CE:ECHR:2005:1124JUD004942999
0;0;0;CHAMBER;ECLI:CE:ECHR:2005:1208JUD005885800
0;0;0;CHAMBER;ECLI:CE:ECHR:2005:1222JUD004634799
1;0;0;CHAMBER;ECLI:CE:ECHR:2006:0216JUD000459603
0;0;0;GRANDCHAMBER;ECLI:CE:ECHR:2006:0308JUD005953200
1;0;0;CHAMBER;ECLI:CE:ECHR:2006:0323JUD007792401
1;0;1;CHAMBER;ECLI:CE:ECHR:2006:0323JUD007795501
0;0;0;CHAMBER;ECLI:CE:ECHR:2006:0323JUD007796201
0;2;2;GRANDCHAMBER;ECLI:CE:ECHR:2006:0412JUD006573101
0;0;0;CHAMBER;ECLI:CE:ECHR:2006:0615JUD003355403
0;2;2;GRANDCHAMBER;ECLI:CE:ECHR:2006:0619JUD003501497
0;0;0;CHAMBER;ECLI:CE:ECHR:2006:0822JUD000735203
0;0;0;CHAMBER;ECLI:CE:ECHR:2006:0926JUD003112205
0;0;1;CHAMBER;ECLI:CE:ECHR:2006:0926JUD003534905
1;1;0;CHAMBER;ECLI:CE:ECHR:2006:1024JUD001764704
0;0;0;CHAMBER;ECLI:CE:ECHR:2006:1031JUD004118302
0;0;0;CHAMBER;ECLI:CE:ECHR:2006:1114JUD005258999
0;0;0;CHAMBER;ECLI:CE:ECHR:2007:0111JUD005506600
0;0;2;GRANDCHAMBER;ECLI:CE:ECHR:2007:0111JUD007304901
0;0;0;CHAMBER;ECLI:CE:ECHR:2007:0215JUD002200003
0;0;0;CHAMBER;ECLI:CE:ECHR:2007:0315JUD004327898
0;0;0;CHAMBER;ECLI:CE:ECHR:2007:0531JUD002577405
0;0;0;CHAMBER;ECLI:CE:ECHR:2007:1113JUD003377102
0;0;0;CHAMBER;ECLI:CE:ECHR:2007:1113JUD003822202
0;0;0;GRANDCHAMBER;ECLI:CE:ECHR:2007:1113JUD005732500
0;0;0;CHAMBER;ECLI:CE:ECHR:2007:1115JUD007211801
0;0;0;CHAMBER;ECLI:CE:ECHR:2007:1213JUD003245705
0;0;0;CHAMBER;ECLI:CE:ECHR:2008:0207JUD003942402
1;0;0;CHAMBER;ECLI:CE:ECHR:2008:0410JUD002107105
1;2;2;GRANDCHAMBER;ECLI:CE:ECHR:2016:1213JUD005308013
1;0;2;GRANDCHAMBER;ECLI:CE:ECHR:2008:0429JUD001337805
0;0;0;CHAMBER;ECLI:CE:ECHR:2008:0708JUD000141103
0;0;0;CHAMBER;ECLI:CE:ECHR:2008:0708JUD000910304
0;0;0;GRANDCHAMBER;ECLI:CE:ECHR:2008:0708JUD001022603
0;0;0;CHAMBER;ECLI:CE:ECHR:2008:1009JUD003823804
0;0;0;CHAMBER;ECLI:CE:ECHR:2008:1014JUD007093001
0;0;0;CHAMBER;ECLI:CE:ECHR:2009:0122JUD001827404
0;0;0;GRANDCHAMBER;ECLI:CE:ECHR:2009:0218JUD005570700
0;2;0;GRANDCHAMBER;ECLI:CE:ECHR:2009:0219JUD000233403
0;0;0;CHAMBER;ECLI:CE:ECHR:2009:0611JUD007756801
0;0;0;CHAMBER;ECLI:CE:ECHR:2009:0707JUD002227904
0;0;0;CHAMBER;ECLI:CE:ECHR:2009:0716JUD002008202
0;2;1;CHAMBER;ECLI:CE:ECHR:2009:0915JUD001037305
0;0;0;CHAMBER;ECLI:CE:ECHR:2009:0915JUD004704506
0;0;0;CHAMBER;ECLI:CE:ECHR:2009:1015JUD004045004
1;0;0;CHAMBER;ECLI:CE:ECHR:2009:1208JUD001817605
0;0;0;CHAMBER;ECLI:CE:ECHR:2009:1208JUD004915107
0;0;0;GRANDCHAMBER;ECLI:CE:ECHR:2009:1222JUD002799606
0;0;0;GRANDCHAMBER;ECLI:CE:ECHR:2012:0403JUD005452200
0;0;0;CHAMBER;ECLI:CE:ECHR:2010:0302JUD007803901
0;0;0;GRANDCHAMBER;ECLI:CE:ECHR:2010:0316JUD001576603
0;0;0;GRANDCHAMBER;ECLI:CE:ECHR:2010:0316JUD004218405
0;2;0;GRANDCHAMBER;ECLI:CE:ECHR:2010:0329JUD003404402
0;0;0;GRANDCHAMBER;ECLI:CE:ECHR:2010:0329JUD003407802
0;1;0;CHAMBER;ECLI:CE:ECHR:2010:0401JUD001690303
0;0;0;CHAMBER;ECLI:CE:ECHR:2010:0408JUD001870506
0;0;0;GRANDCHAMBER;ECLI:CE:ECHR:2010:0427JUD000000708
0;0;0;CHAMBER;ECLI:CE:ECHR:2010:0520JUD003883206
0;2;0;CHAMBER;ECLI:CE:ECHR:2010:0520JUD005555508
0;0;0;CHAMBER;ECLI:CE:ECHR:2010:0527JUD001876805
0;0;0;CHAMBER;ECLI:CE:ECHR:2011:0920JUD001490204
0;0;0;CHAMBER;ECLI:CE:ECHR:2010:0930JUD002079906
0;0;0;CHAMBER;ECLI:CE:ECHR:2010:1012JUD003076705
1;0;0;GRANDCHAMBER;ECLI:CE:ECHR:2011:0106JUD003493204
0;0;0;CHAMBER;ECLI:CE:ECHR:2011:0329JUD001348807
0;0;0;CHAMBER;ECLI:CE:ECHR:2011:0531JUD004628609
0;0;0;CHAMBER;ECLI:CE:ECHR:2011:0621JUD000533505
0;0;0;GRANDCHAMBER;ECLI:CE:ECHR:2011:0707JUD003745202
0;0;0;CHAMBER;ECLI:CE:ECHR:2011:0920JUD001785404
0;0;0;CHAMBER;ECLI:CE:ECHR:2011:1004JUD000405608
0;0;0;CHAMBER;ECLI:CE:ECHR:2011:1025JUD000203304
0;0;0;CHAMBER;ECLI:CE:ECHR:2011:1206JUD000709710
0;0;0;CHAMBER;ECLI:CE:ECHR:2011:1213JUD002745806
0;0;0;GRANDCHAMBER;ECLI:CE:ECHR:2012:0315JUD004220207
1;1;0;GRANDCHAMBER;ECLI:CE:ECHR:2012:0522JUD000012605
0;0;0;GRANDCHAMBER;ECLI:CE:ECHR:2012:0607JUD003843309
0;0;1;GRANDCHAMBER;ECLI:CE:ECHR:2012:0626JUD000930007
1;0;0;GRANDCHAMBER;ECLI:CE:ECHR:2012:1019JUD004337004
0;0;0;GRANDCHAMBER;ECLI:CE:ECHR:2012:1025JUD007124301
0;0;0;CHAMBER;ECLI:CE:ECHR:2013:0129JUD006661009
1;0;0;GRANDCHAMBER;ECLI:CE:ECHR:2013:0207JUD001657408
0;0;0;CHAMBER;ECLI:CE:ECHR:2014:0123JUD001933604
0;1;0;CHAMBER;ECLI:CE:ECHR:2014:0415JUD002183810
0;0;0;CHAMBER;ECLI:CE:ECHR:2019:0305JUD001962005
0;0;2;GRANDCHAMBER;ECLI:CE:ECHR:2014:0716JUD006064208
0;0;0;CHAMBER;ECLI:CE:ECHR:2014:0925JUD001253506
0;1;0;CHAMBER;ECLI:CE:ECHR:2015:0113JUD006568113
0;0;0;GRANDCHAMBER;ECLI:CE:ECHR:2015:0616JUD004016706
0;0;0;CHAMBER;ECLI:CE:ECHR:2015:0730JUD000104612
0;0;0;CHAMBER;ECLI:CE:ECHR:2015:1013JUD004855510
0;0;0;CHAMBER;ECLI:CE:ECHR:2016:0322JUD002368213
0;0;0;CHAMBER;ECLI:CE:ECHR:2016:0517JUD003835913
0;0;0;CHAMBER;ECLI:CE:ECHR:2016:0602JUD000703105
0;0;0;CHAMBER;ECLI:CE:ECHR:2017:0117JUD004207912
0;1;0;GRANDCHAMBER;ECLI:CE:ECHR:2017:0905JUD007811713
0;0;0;GRANDCHAMBER;ECLI:CE:ECHR:2018:0320JUD003768510
0;2;1;GRANDCHAMBER;ECLI:CE:ECHR:2018:0628JUD000182806
1;0;2;GRANDCHAMBER;ECLI:CE:ECHR:2018:1211JUD003648007
0;0;2;GRANDCHAMBER;ECLI:CE:ECHR:2018:1219JUD002045214
0;0;0;CHAMBER;ECLI:CE:ECHR:2019:1029JUD003010018
0;0;0;CHAMBER;ECLI:CE:ECHR:2020:1020JUD003313913
